Date,spy,bnd,qqq
2020-04-09,258.6645202636719,76.00691223144531,194.9241485595703
2020-04-13,256.302978515625,75.76361846923828,197.02999877929688
2020-04-14,263.8620300292969,75.76361846923828,205.59906005859375
2020-04-15,258.2555236816406,76.13720703125,203.2408447265625
2020-04-16,259.5013427734375,76.18067169189453,206.947998046875
2020-04-17,266.51190185546875,76.07640838623047,208.92767333984375
2020-04-20,261.8165283203125,75.95476531982422,206.4530792236328
2020-04-21,253.86691284179688,76.05032348632812,198.83502197265625
2020-04-22,259.5013427734375,75.98951721191406,204.7353515625
2020-04-23,259.48272705078125,76.11115264892578,204.2986602783203
2020-04-24,263.09967041015625,76.08512115478516,207.52056884765625
2020-04-27,266.89312744140625,75.81572723388672,209.18972778320312
2020-04-28,265.66583251953125,76.04167175292969,205.24972534179688
2020-04-29,272.62054443359375,76.09378051757812,212.52806091308594
2020-04-30,270.0823669433594,76.03295135498047,212.440673828125
2020-05-01,262.9322814941406,76.00162506103516,206.4530792236328
2020-05-04,263.65753173828125,76.07997131347656,208.8597412109375
2020-05-05,266.0935363769531,76.01032257080078,211.22764587402344
2020-05-06,264.2897644042969,75.67079162597656,212.52806091308594
2020-05-07,267.4788818359375,75.91458129882812,215.26473999023438
2020-05-08,271.9046630859375,75.69690704345703,218.21485900878906
2020-05-11,271.96038818359375,75.46185302734375,220.16551208496094
2020-05-12,266.5397644042969,75.70563507080078,215.5558624267578
2020-05-13,261.8257751464844,75.79267883300781,212.85800170898438
2020-05-14,264.9591979980469,76.00162506103516,215.27444458007812
2020-05-15,266.1772155761719,76.04515075683594,216.671875
2020-05-18,274.2848815917969,75.90586853027344,220.70892333984375
2020-05-19,271.4675598144531,76.00162506103516,220.15577697753906
2020-05-20,276.079345703125,76.20185852050781,224.55191040039062
2020-05-21,274.17333984375,76.28018951416016,222.10638427734375
2020-05-22,274.694091796875,76.30633544921875,222.87301635742188
2020-05-26,278.0783386230469,76.26280975341797,222.27133178710938
2020-05-27,282.2158203125,76.29761505126953,223.48439025878906
2020-05-28,281.6951599121094,76.32374572753906,223.1932830810547
2020-05-29,282.9503479003906,76.54136657714844,226.4636688232422
2020-06-01,284.09405517578125,76.47946166992188,227.14295959472656
2020-06-02,286.44635009765625,76.54048919677734,228.66661071777344
2020-06-03,290.25848388671875,76.3660659790039,229.6952667236328
2020-06-04,289.4960632324219,76.18286895751953,228.08438110351562
2020-06-05,296.9156799316406,76.17416381835938,232.60662841796875
2020-06-08,300.504638671875,76.25267028808594,234.41163635253906
2020-06-09,298.2638854980469,76.30500030517578,236.10992431640625
2020-06-10,296.59954833984375,76.62772369384766,238.9436492919922
2020-06-11,279.5008850097656,76.48821258544922,227.1042022705078
2020-06-12,282.84814453125,76.5666732788086,228.9092254638672
2020-06-15,285.4886779785156,76.72370147705078,231.69439697265625
2020-06-16,290.9836120605469,76.62772369384766,235.6732177734375
2020-06-17,289.7749328613281,76.64521789550781,236.42047119140625
2020-06-18,289.8865051269531,76.73240661621094,237.06094360351562
2020-06-19,288.2298889160156,76.75859069824219,237.02218627929688
2020-06-22,290.0789489746094,76.73240661621094,239.86463928222656
2020-06-23,291.4143981933594,76.69750213623047,241.9061737060547
2020-06-24,283.98077392578125,76.70624542236328,236.9191131591797
2020-06-25,287.02520751953125,76.78472137451172,239.1744384765625
2020-06-26,280.20794677734375,76.92431640625,233.5263671875
2020-06-29,284.3262939453125,76.97664642333984,236.07330322265625
2020-06-30,287.9683532714844,77.05512237548828,240.70071411132812
2020-07-01,289.985595703125,77.07433319091797,243.5102081298828
2020-07-02,291.58245849609375,77.1966781616211,245.1627960205078
2020-07-06,296.0837097167969,77.17045593261719,251.1900634765625
2020-07-07,293.02996826171875,77.29283142089844,249.4596405029297
2020-07-08,295.271240234375,77.24910736083984,252.7454376220703
2020-07-09,293.59027099609375,77.4588623046875,254.8744354248047
2020-07-10,296.5879821777344,77.3714828491211,256.6144714355469
2020-07-13,294.0198974609375,77.40645599365234,251.33592224121094
2020-07-14,297.830078125,77.50253295898438,253.11488342285156
2020-07-15,300.5662841796875,77.51126861572266,253.63011169433594
2020-07-16,299.5763854980469,77.56373596191406,251.89971923828125
2020-07-17,300.4449462890625,77.64238739013672,252.19139099121094
2020-07-20,302.8728942871094,77.72101593017578,259.3463134765625
2020-07-21,303.5173645019531,77.76470947265625,256.6437072753906
2020-07-22,305.24493408203125,77.86956787109375,257.5478515625
2020-07-23,301.6029052734375,77.9394760131836,250.82066345214844
2020-07-24,299.6604919433594,77.92201232910156,248.43887329101562
2020-07-27,301.8457336425781,77.86956787109375,252.87188720703125
2020-07-28,299.9312744140625,77.90451049804688,249.65408325195312
2020-07-29,303.6200866699219,78.02689361572266,252.5315704345703
2020-07-30,302.53680419921875,78.0705795288086,253.85366821289062
2020-07-31,304.927490234375,78.1754379272461,258.3838806152344
2020-08-03,307.04736328125,78.14830017089844,261.8738708496094
2020-08-04,308.2333984375,78.31462860107422,262.8459167480469
2020-08-05,310.1478271484375,78.20957946777344,263.49725341796875
2020-08-06,312.22100830078125,78.33216094970703,266.9872741699219
2020-08-07,312.4451904296875,78.24458312988281,263.9056091308594
2020-08-10,313.3790588378906,78.15704345703125,262.7778625488281
2020-08-11,310.79217529296875,77.88565826416016,257.80059814453125
2020-08-12,315.12530517578125,77.68431091308594,264.28466796875
2020-08-13,314.5556945800781,77.43045806884766,264.887451171875
2020-08-14,314.5650329589844,77.34288024902344,264.5762939453125
2020-08-17,315.5642395019531,77.43921661376953,267.6483154296875
